feature,segment,segment_label,rows_treated,rows_control,mean_treated,mean_control,absolute_effect,standard_error,confidence_low,confidence_high,z_statistic,p_value,relative_lift,relative_low,relative_high,log_ratio_standard_error,successes_treated,successes_control,significant_uncorrected,benjamini_hochberg_q,significant_corrected
f5,1,f5 q2,11241558,1996591,0.002196225825637336,0.001437450133752982,0.0007587756918843538,3.0230033695409097e-05,0.0006995259145899196,0.0008180254691787879,25.100061069385635,4.965690850977318e-139,0.527862270883301,0.4699751868331101,0.5880289270853545,0.019706499296480638,24689.0,2870.0,True,9.517574131039859e-139,True
f6,0,f6 q1,2909037,486225,0.00841412467424787,0.004954496375134968,0.0034596282991129013,0.00011404957896391642,0.0032360952318916682,0.0036831613663341344,30.33442412099983,4.032502166622913e-202,0.6982805187779868,0.6288509571744267,0.7706695064746651,0.02129704830894645,24477.0,2409.0,True,1.1593443729040876e-201,True
f6,1,f6 q2,2905441,515604,0.0015033862329333137,0.0010007680312798194,0.0005026182016534943,4.955482183055423e-05,0.0004054925356053087,0.0005997438677016798,10.14266993779388,3.572007796413688e-24,0.5022324714057136,0.3713061306707661,0.6456590892960317,0.046525676462605456,4368.0,516.0,True,5.477078621167655e-24,True
f6,2,f6 q3,2934416,523324,0.0006839521049503547,0.0005484174240050141,0.00013553468094534057,3.578121583385539e-05,6.540478658792969e-05,0.00020566457530275144,3.7878724293404438,0.0001519428258232013,0.2471378096551895,0.10207790710343323,0.4112910768345246,0.063089817052462,2007.0,287.0,True,0.00015884931790607407,True
f6,3,f6 q4,3133761,571784,0.0018696384312651795,0.001488324262308844,0.00038131416895633547,5.6520532825720246e-05,0.0002705359602309099,0.000492092377681761,6.74647158992837,1.514837114657631e-11,0.25620369069627413,0.1691170942686342,0.34977729797554735,0.0366564824292238,5859.0,851.0,True,1.833750191427659e-11,True
f7,1,f7 q2,11882655,2096937,0.0030894610674129645,0.0019375880152813366,0.0011518730521316279,3.437168357507502e-05,0.0010845057902364738,0.001219240314026782,33.51226743420042,3.194105972880377e-246,0.5944881177252619,0.5436975782271105,0.6469497610321502,0.016516727992766368,36711.0,4063.0,True,1.4692887475249735e-245,True
f8,0,f8 q1,2877448,490832,0.012020721139009288,0.007811226651889038,0.004209494487120251,0.00014112864068456638,0.003932887434191406,0.004486101540049095,29.827357981352645,1.7265286161369532e-195,0.5389031293954634,0.4886144072580094,0.5908907169757667,0.016951408282935957,34589.0,3834.0,True,3.971015817114992e-195,True
f8,1,f8 q2,2802551,505332,0.0005491425490561991,0.00032453911487893107,0.00022460343417726806,2.8945764541315065e-05,0.00016787077817131398,0.00028133609018322214,7.759457652489558,8.529333927888746e-15,0.6920689182906539,0.440491242291261,0.9875839159502491,0.08212793580989532,1539.0,164.0,True,1.0898593352302286e-14,True
f8,2,f8 q3,6202656,1100773,9.39919931074688e-05,5.904941345763386e-05,3.494257964983493e-05,8.294124639743995e-06,1.868639407265045e-05,5.119876522701941e-05,4.21293158320725,2.5207743611002992e-05,0.5917515112136575,0.23188479156345165,1.0567449901182244,0.13076242417855535,583.0,65.0,True,2.760848109776518e-05,True
f9,1,f9 q2,11882655,2096937,0.0030894610674129645,0.0019375880152813366,0.0011518730521316279,3.437168357507502e-05,0.0010845057902364738,0.001219240314026782,33.51226743420042,3.194105972880377e-246,0.5944881177252619,0.5436975782271105,0.6469497610321502,0.016516727992766368,36711.0,4063.0,True,1.4692887475249735e-245,True
f10,1,f10 q2,11882655,2096937,0.0030894610674129645,0.0019375880152813366,0.0011518730521316279,3.437168357507502e-05,0.0010845057902364738,0.001219240314026782,33.51226743420042,3.194105972880377e-246,0.5944881177252619,0.5436975782271105,0.6469497610321502,0.016516727992766368,36711.0,4063.0,True,1.4692887475249735e-245,True
f11,0,f11 q1,173658,28728,0.1074295454283707,0.08027011974380395,0.02715942568456675,0.0017669251340632758,0.023696316058424125,0.030622535310709378,15.371011007189702,2.5614075866029225e-53,0.3383503820755567,0.28404348962613435,0.39495411150234006,0.021134940561624637,18656.0,2306.0,True,4.208026749419087e-53,True
f11,1,f11 q2,11708997,2068209,0.0015419766526543648,0.0008495272963225671,0.0006924493563317978,2.3278630721836002e-05,0.0006468240785075915,0.000738074634156004,29.74613776068285,1.945530260440857e-194,0.8150995963629091,0.7283749940838584,0.9061757755082092,0.02497937886763518,18055.0,1757.0,True,4.0679269081945193e-194,True
