rows_seen,rows_treated,rows_control,absolute_effect,standard_error,fixed_low,fixed_high,sequential_low,sequential_high,sequential_excludes_zero,fixed_excludes_zero
447657,380399,67258,0.0010213740750293142,0.00019817864904855766,0.0006329510603893381,0.0014097970896692902,-7.64186166356891e-05,0.0021191667666943174,False,True
500215,425097,75118,0.001073083009432947,0.0001853438042339308,0.0007098158283768001,0.0014363501904890935,8.848017837833093e-05,0.002057685840487563,True,True
558943,474995,83948,0.001085162857364277,0.00017540743926441386,0.0007413705937856288,0.0014289551209429251,0.00019045316179201776,0.001979872552936536,True,True
624567,530729,93838,0.0010980031605532371,0.0001659282055138566,0.0007727898537267178,0.0014232164673797566,0.0002842951394880813,0.001911711181618393,True,True
697896,593061,104835,0.001135290651310628,0.00015431011293167403,0.0008328483875142384,0.0014377329151070177,0.0004067538757378576,0.0018638274268833984,True,True
779833,662782,117051,0.0011159972646785513,0.00014624767203608294,0.0008293570946650031,0.0014026374346920996,0.0004502960641213318,0.0017816984652357709,True,True
871391,740635,130756,0.0011259852927382053,0.00013743838238590553,0.0008566110131683864,0.0013953595723080244,0.0005219201478589276,0.001730050437617483,True,True
973698,827602,146096,0.0010611540357296795,0.0001312609725701719,0.0008038872569164426,0.0013184208145429165,0.0005032306061709606,0.0016190774652883985,True,True
1088016,924776,163240,0.0010357502797813892,0.00012476753318088743,0.0007912104083069437,0.0012802901512558348,0.0005220565490437001,0.0015494440105190783,True,True
1215757,1033566,182191,0.0010291265151954622,0.00011849197834644585,0.0007968865051795284,0.001261366525211396,0.0005557848248062146,0.00150246820558471,True,True
1358495,1154689,203806,0.0010401842958541675,0.00011136097221360563,0.0008219208010321348,0.0012584477906762003,0.0006078328831495674,0.0014725357085587677,True,True
1517991,1290114,227877,0.0010418121078305865,0.00010564277972216036,0.0008347560643484538,0.001248868151312719,0.0006425044090198014,0.0014411198066413716,True,True
1696213,1441662,254551,0.0010954266496056423,9.935498082335053e-05,0.0009006944655072075,0.0012901588337040771,0.0007291797996678978,0.0014616734995433868,True,True
1895360,1610896,284464,0.0011352410540934835,9.372398306922812e-05,0.0009515454227901546,0.0013189366853968124,0.0007977163688368154,0.0014727657393501516,True,True
2117888,1799895,317993,0.0011101374011235616,8.944054263096761e-05,0.0009348371588091457,0.0012854376434379775,0.0007949194267564229,0.0014253553754907003,True,True
2366542,2011262,355280,0.0011418512953648078,8.38504638513344e-05,0.0009775074061292147,0.001306195184600401,0.0008521521466231981,0.0014315504441064176,True,True
2644390,2247647,396743,0.0011037218141555817,7.951146255830125e-05,0.0009478822111832063,0.0012595614171279571,0.0008339678546560386,0.0013734757736551249,True,True
2954859,2511669,443190,0.0011651602309295072,7.489020451153208e-05,0.0010183781272920652,0.0013119423345669492,0.0009152557743467881,0.0014150646875122264,True,True
3301780,2806473,495307,0.0011775797869444412,7.052712224805398e-05,0.001039349167405002,0.0013158104064838806,0.000945728195836323,0.0014094313780525594,True,True
3689431,3135872,553559,0.0011858999938000206,6.641968459570863e-05,0.001055719804127922,0.0013160801834721193,0.0009704602893390609,0.0014013396982609802,True,True
4122594,3504377,618217,0.0011811368950109561,6.285976729875946e-05,0.0010579340150288189,0.0013043397749930934,0.000979662502479156,0.0013826112875427563,True,True
4606614,3915499,691115,0.0011767494602716682,5.9471404080467526e-05,0.0010601876501639233,0.001293311270379413,0.0009881297104635154,0.001365369210079821,True,True
5147462,4375276,772186,0.0011728439650051953,5.6315641186929606e-05,0.0010624673365125328,0.001283220593497858,0.0009958647051079982,0.0013498232249023925,True,True
5751808,4888644,863164,0.0011860783547354408,5.319281323663265e-05,0.0010818223565552754,0.0012903343529156062,0.0010202302268657822,0.0013519264826050994,True,True
6427109,5462187,964922,0.0011708345539124534,5.0565021941558096e-05,0.001071728932029522,0.0012699401757953848,0.0010142357025545532,0.0013274334052703536,True,True
7181694,6103975,1077719,0.0011505610850582953,4.791174624343846e-05,0.0010566557879847338,0.0012444663821318568,0.001003009497071012,0.0012981126730455786,True,True
8024873,6821188,1203685,0.001139792523613359,4.537161578080709e-05,0.001050865790762588,0.00122871925646413,0.0010007016053755677,0.0012788834418511503,True,True
8967047,7622022,1345025,0.0011439554541312275,4.285864953504354e-05,0.0010599540446165178,0.0012279568636459372,0.0010130427959722456,0.0012748681122902094,True,True
10019838,8516932,1502906,0.001140563434960124,4.055160755214661e-05,0.0010610837446427142,0.0012200431252775337,0.0010170359687449693,0.0012640909011752785,True,True
11196234,9516466,1679768,0.001149126505137396,3.8358937018519384e-05,0.0010739443700958577,0.0012243086401789343,0.001032502822768421,0.001265750187506371,True,True
12510747,10634263,1876484,0.0011533803492673879,3.6295727649704445e-05,0.0010822420302812926,0.0012245186682534831,0.001043159715004942,0.0012636009835298337,True,True
13979592,11882655,2096937,0.0011518730521316279,3.437168357507502e-05,0.0010845057902364738,0.001219240314026782,0.0010475478091301923,0.0012561982951330634,True,True
